province,region,population,python_pop_share,cobolite_pop_share,javarian_pop_share,electoral_college_votes
Amperville,Circuit Confederation,1000000,0.765172607,0.084047506,0.150779886,15
Binaryshire,Metaflux Realm,150000,0.030380342,0.927360967,0.042258691,7
Byteforge Domain,Metaflux Realm,650000,0.545107809,0.317106641,0.13778555,12
Cerebrica,Synapse Territories,850000,0.404045508,0.529105314,0.066849178,13
Circuiton,Circuit Confederation,500000,0.402773897,0.059543896,0.537682207,10
Cortexia,Synapse Territories,1400000,0.592846181,0.170363079,0.23679074,19
Electropolis,Circuit Confederation,2250000,0.265685985,0.229265542,0.505048473,27
Infinitron Peninsula,Metaflux Realm,200000,0.167412444,0.439658525,0.392929031,7
Infoglen,Metaflux Realm,1750000,0.13415818,0.295264189,0.570577632,22
Neuronia,Synapse Territories,250000,0.676468154,0.10081673,0.222715116,8
Quantumridge,Metaflux Realm,250000,0.530972674,0.199361184,0.269666142,8
Voltagea,Circuit Confederation,750000,0.736797203,0.123078437,0.14012436,12
